ID,TOPSIS_Score,TOPSIS_Rank,ML_Score,Final_Score,Final_Rank,Classe_predite,Moyenne,Alternance,Licence_EDN,Diplome_norm,Niveau_Math
97,0.7291714719912159,56,0.870234,0.785597,50,Excellent,13.45,0.0,0.0,5.0,3.0
61,0.7283117834919693,57,0.871031,0.785399,52,Excellent,13.3,0.0,0.0,5.0,3.0
650,0.7282654358551033,58,0.88045,0.789139,40,Excellent,13.292,0.0,0.0,5.0,3.0
59,0.7280795447849091,59,0.88045,0.789028,41,Excellent,13.26,0.0,0.0,5.0,3.0
462,0.7279629570610754,60,0.88245,0.789758,32,Excellent,13.24,0.0,0.0,5.0,3.0
449,0.7279045464000528,61,0.88245,0.789723,33,Excellent,13.23,0.0,0.0,5.0,3.0
729,0.7279045464000528,61,0.88245,0.789723,33,Excellent,13.23,0.0,0.0,5.0,3.0
419,0.7277601345046637,63,0.878005,0.787858,45,Excellent,13.205333333333334,0.0,0.0,5.0,3.0
318,0.727699497328093,64,0.878005,0.787822,46,Excellent,13.195,0.0,0.0,5.0,3.0
310,0.7276054443613555,65,0.827978,0.767754,57,Excellent,13.179,0.0,0.0,5.0,3.0
405,0.7271975778723964,66,0.697466,0.715305,59,Excellent,13.11,0.0,0.0,5.0,3.0
72,0.7269992304584706,67,0.207409,0.519163,67,Bon,13.076666666666668,0.0,0.0,5.0,3.0
83,0.7268698489473129,68,0.191854,0.512863,72,Bon,13.055,0.0,0.0,5.0,3.0
221,0.7266801091717805,69,0.191854,0.51275,73,Bon,13.023333333333332,0.0,0.0,5.0,3.0
2,0.7265398131962709,70,0.191854,0.512665,74,Bon,13.0,0.0,0.0,5.0,3.0
530,0.7265398131962709,70,0.191854,0.512665,74,Bon,13.0,0.0,0.0,5.0,3.0
306,0.7265398131962709,70,0.191854,0.512665,74,Bon,13.0,0.0,0.0,5.0,3.0
686,0.726280129850015,73,0.202485,0.516762,68,Bon,10.51,1.0,0.0,5.0,3.0
200,0.7262781697573372,74,0.191854,0.512508,77,Bon,12.956666666666663,0.0,0.0,5.0,3.0
228,0.7262377910728437,75,0.191854,0.512484,78,Bon,12.95,0.0,0.0,5.0,3.0
269,0.7259338853838629,76,0.197175,0.51443,69,Bon,12.9,0.0,0.0,5.0,3.0
39,0.7258423480284997,77,0.197175,0.514375,70,Bon,12.885,0.0,0.0,5.0,3.0
162,0.725628107156831,78,0.197175,0.514247,71,Bon,12.85,0.0,0.0,5.0,3.0
245,0.7250109775759116,79,0.220491,0.523203,66,Bon,12.75,0.0,0.0,5.0,3.0
174,0.7249550667487054,80,0.122581,0.484006,80,Moyen,13.17,1.0,0.0,5.0,1.0
691,0.7246371631780614,81,0.104568,0.476609,82,Bon,12.69,0.0,0.0,5.0,3.0
223,0.7245119732762184,82,0.086202,0.469188,88,Bon,12.67,0.0,0.0,5.0,3.0
53,0.7242607201871255,83,0.06943,0.462328,89,Bon,12.63,0.0,0.0,5.0,3.0
406,0.7241346584621213,84,0.06943,0.462253,90,Bon,12.61,0.0,0.0,5.0,3.0
702,0.7234425592280418,85,0.06943,0.461837,91,Bon,12.501,0.0,0.0,5.0,3.0
88,0.7234361703070231,86,0.06943,0.461834,92,Bon,12.5,0.0,0.0,5.0,3.0
562,0.7233242489046335,87,0.06943,0.461766,93,Bon,12.4825,0.0,0.0,5.0,3.0
273,0.7232505819532205,88,0.06943,0.461722,94,Bon,12.471,0.0,0.0,5.0,3.0
257,0.7229871801133396,89,0.06943,0.461564,95,Bon,12.43,0.0,0.0,5.0,3.0
725,0.7228582602520389,90,0.06943,0.461487,96,Bon,12.410000000000002,0.0,0.0,5.0,3.0
73,0.7224048271632293,91,0.06943,0.461215,97,Bon,12.34,0.0,0.0,5.0,3.0
246,0.7224048271632293,91,0.06943,0.461215,97,Bon,12.34,0.0,0.0,5.0,3.0
27,0.7220330762885573,93,0.06943,0.460992,99,Bon,12.283,0.0,0.0,5.0,3.0
579,0.7218824336468231,94,0.06943,0.460901,100,Bon,12.26,0.0,0.0,5.0,3.0
70,0.7218496368987358,95,0.06943,0.460882,101,Bon,12.255,0.0,0.0,5.0,3.0
619,0.721751143256916,96,0.06943,0.460823,102,Bon,12.24,0.0,0.0,5.0,3.0
29,0.7217379990648305,97,0.06943,0.460815,103,Bon,12.238,0.0,0.0,5.0,3.0
566,0.721487737394969,98,0.06943,0.460665,104,Bon,12.2,0.0,0.0,5.0,3.0
711,0.721487737394969,98,0.06943,0.460665,104,Bon,12.2,0.0,0.0,5.0,3.0
30,0.7212232365211857,100,0.06943,0.460506,106,Bon,12.16,0.0,0.0,5.0,3.0
527,0.7206241377346968,101,0.06943,0.460146,107,Bon,12.07,0.0,0.0,5.0,3.0
181,0.7204902631329753,102,0.06943,0.460066,108,Bon,12.05,0.0,0.0,5.0,3.0
503,0.7204101617428478,103,0.093747,0.469745,87,Moyen,12.45,1.0,0.0,5.0,1.0
642,0.7203561205571709,104,0.06943,0.459986,109,Bon,12.03,0.0,0.0,5.0,3.0
595,0.7202889490214109,105,0.06943,0.459945,110,Bon,12.02,0.0,0.0,5.0,3.0
512,0.7201768482821044,106,0.06943,0.459878,111,Bon,12.003333333333332,0.0,0.0,5.0,3.0
382,0.7201544059396834,107,0.06943,0.459865,112,Bon,12.0,0.0,0.0,5.0,3.0
636,0.7201544059396834,107,0.06943,0.459865,112,Bon,12.0,0.0,0.0,5.0,3.0
452,0.7201544059396834,107,0.06943,0.459865,112,Bon,12.0,0.0,0.0,5.0,3.0
280,0.7201544059396834,107,0.06943,0.459865,112,Bon,12.0,0.0,0.0,5.0,3.0
714,0.7201544059396834,107,0.06943,0.459865,112,Bon,12.0,0.0,0.0,5.0,3.0
349,0.7200870345881429,112,0.06943,0.459824,117,Bon,11.99,0.0,0.0,5.0,3.0
57,0.7195320933209143,113,0.06943,0.459491,118,Bon,11.908,0.0,0.0,5.0,3.0
255,0.7193415880775088,114,0.06943,0.459377,119,Bon,11.88,0.0,0.0,5.0,3.0
202,0.7193075153202814,115,0.06943,0.459356,120,Bon,11.875,0.0,0.0,5.0,3.0
751,0.7192734262414684,116,0.06943,0.459336,121,Bon,11.87,0.0,0.0,5.0,3.0
444,0.7186799681414899,117,0.066049,0.457628,122,Bon,11.783333333333331,0.0,0.0,5.0,3.0
467,0.7185882360635757,118,0.066049,0.457573,123,Bon,11.77,0.0,0.0,5.0,3.0
441,0.7181394107753011,119,0.066049,0.457303,124,Bon,11.705,0.0,0.0,5.0,3.0
237,0.7181026305377227,120,0.041932,0.447634,152,Non_classe,11.01,2.0,0.0,5.0,1.0
616,0.7180354530686841,121,0.066049,0.457241,125,Bon,11.69,0.0,0.0,5.0,3.0
328,0.7176530557736116,122,0.066049,0.457011,126,Bon,11.635,0.0,0.0,5.0,3.0
611,0.7175251662822734,123,0.066049,0.456935,127,Bon,11.616666666666667,0.0,0.0,5.0,3.0
493,0.7171519275265353,124,0.066049,0.456711,128,Bon,11.563333333333333,0.0,0.0,5.0,3.0
213,0.7169880783641285,125,0.066049,0.456612,129,Bon,11.54,0.0,0.0,5.0,3.0
658,0.7169177539488197,126,0.066049,0.45657,130,Bon,11.53,0.0,0.0,5.0,3.0
720,0.7168473676707602,127,0.066049,0.456528,131,Bon,11.52,0.0,0.0,5.0,3.0
753,0.7167064099273405,128,0.065221,0.456112,132,Bon,11.5,0.0,0.0,5.0,3.0
79,0.7164945118488257,129,0.063114,0.455142,134,Bon,11.47,0.0,0.0,5.0,3.0
133,0.7161756318063124,130,0.063114,0.454951,135,Bon,11.425000000000002,0.0,0.0,5.0,3.0
263,0.7157984834953156,131,0.057793,0.452596,138,Bon,11.372,0.0,0.0,5.0,3.0
514,0.7156056994378434,132,0.057793,0.452481,139,Bon,11.345,0.0,0.0,5.0,3.0
63,0.715340803865753,133,0.057793,0.452322,140,Bon,11.308,0.0,0.0,5.0,3.0
199,0.7152834216432512,134,0.057793,0.452287,141,Bon,11.3,0.0,0.0,5.0,3.0
102,0.7152188210929826,135,0.057793,0.452249,142,Bon,11.291,0.0,0.0,5.0,3.0
448,0.7148518438218285,136,0.057793,0.452028,143,Bon,11.24,0.0,0.0,5.0,3.0
288,0.7147797073114062,137,0.057793,0.451985,144,Bon,11.23,0.0,0.0,5.0,3.0
617,0.7142731100111831,138,0.057793,0.451681,146,Bon,11.16,0.0,0.0,5.0,3.0
431,0.713104534596332,139,0.057793,0.45098,147,Bon,11.0,0.0,0.0,5.0,3.0
369,0.713104534596332,139,0.057793,0.45098,147,Bon,11.0,0.0,0.0,5.0,3.0
1,0.7122433072316244,141,0.049986,0.44734,153,Non_classe,10.883333333333333,0.0,0.0,5.0,3.0
28,0.7119958526805645,142,0.049986,0.447192,154,Non_classe,10.85,0.0,0.0,5.0,3.0
335,0.7112498403992068,143,0.049986,0.446744,157,Non_classe,10.75,0.0,0.0,5.0,3.0
96,0.7105738153203746,144,0.049986,0.446339,160,Non_classe,10.66,0.0,0.0,5.0,3.0
602,0.710473772043254,145,0.123175,0.475554,83,Moyen,13.5742,0.0,0.0,5.0,1.0
482,0.7103953297436448,146,0.049986,0.446231,161,Non_classe,10.636333333333331,0.0,0.0,5.0,3.0
495,0.7101683565054838,147,0.045234,0.444195,169,Non_classe,11.0,1.0,0.0,5.0,1.0
789,0.7101010352417904,148,0.123175,0.475331,84,Moyen,13.505,0.0,0.0,5.0,1.0
713,0.7093614397579577,149,0.049341,0.445353,163,Non_classe,10.5,0.0,0.0,5.0,3.0
300,0.7091985238726544,150,0.123175,0.474789,85,Moyen,13.34,0.0,0.0,5.0,1.0
249,0.7087651993994293,151,0.117217,0.472146,86,Moyen,13.262,0.0,0.0,5.0,1.0
6,0.7085970015195735,152,0.049341,0.444895,165,Non_classe,10.4,0.0,0.0,5.0,3.0
225,0.7080789348602202,153,0.073961,0.454432,136,Moyen,13.14,0.0,0.0,5.0,1.0
727,0.7079824905867236,154,0.073961,0.454374,137,Moyen,13.123,0.0,0.0,5.0,1.0
330,0.7077503103180603,155,0.049341,0.444387,168,Non_classe,10.29,0.0,0.0,5.0,3.0
418,0.7072307361508607,156,0.048057,0.443561,170,Moyen,12.991666666666667,0.0,0.0,5.0,1.0
674,0.7070419275089361,157,0.048057,0.443448,171,Moyen,12.959,0.0,0.0,5.0,1.0
684,0.7070091014764319,158,0.046743,0.442903,175,Moyen,12.953333333333331,0.0,0.0,5.0,1.0
17,0.7068737069691013,159,0.046743,0.442821,176,Moyen,12.93,0.0,0.0,5.0,1.0
319,0.7065238667532954,160,0.037762,0.439019,180,Non_classe,12.87,0.0,0.0,5.0,1.0
591,0.7054899482381726,161,0.049341,0.44303,172,Non_classe,10.0,0.0,0.0,5.0,3.0
809,0.7054899482381726,161,0.049341,0.44303,172,Non_classe,10.0,0.0,0.0,5.0,3.0
737,0.7054002123125725,163,0.020773,0.431549,194,Non_classe,12.68,0.0,0.0,5.0,1.0
308,0.7052932340041786,164,0.049341,0.442912,174,Non_classe,9.975,0.0,0.0,5.0,3.0
739,0.704776335756981,165,0.0435,0.440266,179,Non_classe,10.3,1.0,0.0,5.0,1.0
607,0.7047186641596659,166,0.020773,0.43114,195,Non_classe,12.566666666666668,0.0,0.0,5.0,1.0
763,0.704354474685233,167,0.020773,0.430922,196,Non_classe,12.506666666666666,0.0,0.0,5.0,1.0
708,0.7029579301172568,168,0.013786,0.427289,204,Non_classe,12.28,0.0,0.0,5.0,1.0
